subject_areas,Top_Level_Subjects
"Architecture, Building Technology and Civil Engineering, Environmental Techniques and Energy Technology, Materials, Construction and Manufacturing, Natural Science, Technology, Wood Technology","['Arts, Design and Media', 'Natural Science', 'Technology', 'Materials, Construction and Manufacturing', 'Materials', 'Construction and Manufacturing']"
"Health and Medical Care, Medical Technologies, Medical Technology, Medicine, Neuroscience, Neuroscience","['Health and Medical Care', 'Technology']"
English,['Languages']
Business Administration,['Business Administration and Economics']
"English, Languages",['Languages']
Computer Science,['Computer Science and Engineering']
"English, Languages",['Languages']
"English, Languages",['Languages']
English,['Languages']
Chemistry,['Natural Science']
"Environmental Science, Care and Protection","['Care and Protection', 'Environmental Science']"
Computer Linguistics,"['Humanities', 'Computer Science and Engineering']"
Computer Science,['Computer Science and Engineering']
Media and Communications Studies,"['Journalism, Communication and Information']"
Earth Science,['Natural Science']
Medicine,['Health and Medical Care']
Economic History,"['Humanities', 'Business Administration and Economics', 'Social Science and Behavioural Science']"
"Development Studies, Educational Sciences/Didactics, Global Health","['Education/Educational Sciences/Didactics', 'Social Science and Behavioural Science', 'Health and Medical Care']"
"Comparative Literature, Humanities, Languages","['Humanities', 'Languages']"
Peace and Development Studies,['Social Science and Behavioural Science']
Mechanical Engineering,['Technology']
"Computer Science, Information Technology","['Technology', 'Computer Science and Engineering']"
Computer Science,['Computer Science and Engineering']
"Nordic Languages, Scandinavian Studies, Swedish","['Humanities', 'Social Science and Behavioural Science', 'Languages']"
Educational Sciences/Didactics,['Education/Educational Sciences/Didactics']
Statistics,"['Social Science and Behavioural Science', 'Mathematics']"
English,['Languages']
Languages,['Languages']
Bioinformatics,"['Natural Science', 'Computer Science and Engineering']"
Computer Science,['Computer Science and Engineering']
Mechanical Engineering,['Technology']
Medical Technology,"['Health and Medical Care', 'Technology']"
Chemistry,['Natural Science']
History,['Humanities']
History,['Humanities']
Religious Studies,['Religious Studies']
Biology,['Natural Science']
Biology,['Natural Science']
"Computer Science, Computer Technology, Law and Legal Studies","['Law and Legal Studies', 'Technology', 'Computer Science and Engineering']"
Computer Science,['Computer Science and Engineering']
Computer Linguistics,"['Humanities', 'Computer Science and Engineering']"
Sociology,['Social Science and Behavioural Science']
Physics,['Natural Science']
Physics,['Natural Science']
"Computer Science and Engineering, Statistics","['Computer Science and Engineering', 'Social Science and Behavioural Science', 'Mathematics']"
"Computer Science, Computer Science and Engineering, Computer Technology, Computer Technology, Information Systems","['Technology', 'Computer Science and Engineering']"
Circus,"['Arts, Design and Media']"
Circus,"['Arts, Design and Media']"
Cultural Studies,['Humanities']
Logic,['Mathematics']
Spanish,['Languages']
Surveying and Geographic Information Technology,"['Materials, Construction and Manufacturing']"
Surveying and Geographic Information Technology,"['Materials, Construction and Manufacturing']"
Chemistry,['Natural Science']
Education/Educational Sciences/Didactics,['Education/Educational Sciences/Didactics']
Education/Educational Sciences/Didactics,['Education/Educational Sciences/Didactics']
"Development Studies, Educational Sciences/Didactics, Global Health","['Education/Educational Sciences/Didactics', 'Social Science and Behavioural Science', 'Health and Medical Care']"
Electrical Engineering,['Technology']
Work Science,['Social Science and Behavioural Science']
Gender Studies,"['Humanities', 'Social Science and Behavioural Science']"
Economics,['Business Administration and Economics']
Physics,['Natural Science']
"Engineering Physics, Physics","['Technology', 'Natural Science']"
Languages,['Languages']
Medical Technologies,['Health and Medical Care']
"Computer Science, Information Technology","['Technology', 'Computer Science and Engineering']"
"Global Studies, Peace and Development Studies, Political Science, Sociology, War Studies",['Social Science and Behavioural Science']
Educational Sciences/Didactics,['Education/Educational Sciences/Didactics']
Islamology,['Religious Studies']
Earth Science,['Natural Science']
Earth Science,['Natural Science']
Area Studies,"['Humanities', 'Social Science and Behavioural Science']"
Educational Sciences/Didactics,['Education/Educational Sciences/Didactics']
Educational Sciences/Didactics,['Education/Educational Sciences/Didactics']
"Italian, Languages",['Languages']
"Italian, Languages",['Languages']
"Italian, Languages",['Languages']
"Italian, Languages",['Languages']
"Italian, Languages",['Languages']
"Italian, Languages",['Languages']
"Italian, Languages",['Languages']
"Italian, Languages",['Languages']
"Italian, Languages",['Languages']
"Italian, Languages",['Languages']
"Japanese, Languages",['Languages']
"Japanese, Languages",['Languages']
"Japanese, Languages",['Languages']
"Japanese, Languages",['Languages']
"Japanese, Languages",['Languages']
"Japanese, Languages",['Languages']
"Japanese, Languages",['Languages']
"Japanese, Languages",['Languages']
Japanese,['Languages']
"Japanese, Languages",['Languages']
"Japanese, Languages",['Languages']
"Japanese, Languages",['Languages']
"Japanese, Languages",['Languages']
"Japanese, Languages",['Languages']
"Japanese, Languages",['Languages']
Yiddish,['Languages']
"Health and Medical Care, Health Informatics, Health Informatics, Information Technology","['Health and Medical Care', 'Technology', 'Computer Science and Engineering']"
,['']
Journalism,"['Journalism, Communication and Information']"
Journalism,"['Journalism, Communication and Information']"
Middle East Studies,"['Humanities', 'Social Science and Behavioural Science']"
Mathematics,['Mathematics']
Information Systems,['Computer Science and Engineering']
Korean,['Languages']
Sociology,['Social Science and Behavioural Science']
"Environmental Science, Care and Protection, Soil Science","['Care and Protection', 'Environmental Science', 'Natural Science', 'Agriculture, Horticulture, Forestry and Fishery']"
Landscape Architecture,"['Materials, Construction and Manufacturing', 'Arts, Design and Media']"
Landscape Architecture,"['Materials, Construction and Manufacturing', 'Arts, Design and Media']"
"Biology, Conservation, Design, Landscape Architecture","['Humanities', 'Arts, Design and Media', 'Natural Science', 'Materials, Construction and Manufacturing']"
Landscape Architecture,"['Materials, Construction and Manufacturing', 'Arts, Design and Media']"
Ecology,['Natural Science']
Landscape Architecture,"['Materials, Construction and Manufacturing', 'Arts, Design and Media']"
"Cognitive Science, Linguistics","['Humanities', 'Computer Science and Engineering', 'Social Science and Behavioural Science']"
Education,['Education/Educational Sciences/Didactics']
Educational Sciences/Didactics,['Education/Educational Sciences/Didactics']
French,['Languages']
Languages,['Languages']
Computer Linguistics,"['Humanities', 'Computer Science and Engineering']"
Computer Linguistics,"['Humanities', 'Computer Science and Engineering']"
Languages,['Languages']
"Chinese, Languages, Portuguese, Russian",['Languages']
"Environmental Science, Care and Protection","['Care and Protection', 'Environmental Science']"
Mathematics,['Mathematics']
"Engineering Physics, Physics","['Technology', 'Natural Science']"
,['']
Area Studies,"['Humanities', 'Social Science and Behavioural Science']"
Area Studies,"['Humanities', 'Social Science and Behavioural Science']"
Area Studies,"['Humanities', 'Social Science and Behavioural Science']"
